question,choices,subject,answer
نیش توازن میں،,سپلائی وکر ڈیمانڈ وکر کو کاٹتا ہے۔|کسی بھی فریق کو اپنی حکمت عملی سے ہٹنے کی ترغیب نہیں ہے۔|معمولی آمدنی کا منحنی خطوط لاگت کے منحنی خطوط کو کاٹتا ہے۔|توازن غیر مستحکم ہے اور ہر فریق حکمت عملی کو تبدیل کرنا چاہے گا۔,high_school_microeconomics,1
مکمل طور پر مسابقتی فرم کے حوالے سے درج ذیل میں سے کون سا بیان درست ہے؟,مانگ نیچے کی طرف ڈھلوان ہے۔|ڈیمانڈ وکر معمولی آمدنی کے منحنی خطوط سے اوپر ہے۔|قیمت کا تعین پوری مارکیٹ میں توازن سے ہوتا ہے۔|اوسط آمدنی قیمت سے مختلف ہوتی ہے۔,high_school_microeconomics,2
"ماہرین معاشیات ""سرمایہ"" کی اصطلاح کا استعمال کرتے ہیں۔",پیسہ|پلانٹ اور سامان.|جہاں مرکزی حکومت واقع ہے۔|معیشت کا مرکز.,high_school_microeconomics,1
رے اور ڈوروتھی دونوں پکا سکتے ہیں اور دونوں ہفتے کی دوپہر کو باغ میں گھاس نکال سکتے ہیں۔ کھانا پکانے کے ہر گھنٹے کے لیے، رے 50 گھاس کھینچ سکتی ہے اور ڈوروتھی 100 گھاس کھینچ سکتی ہے۔ اس معلومات کی بنیاد پر،,رے ماتمی لباس کو کھینچتا ہے، کیونکہ اسے کھانا پکانے میں مکمل فائدہ ہوتا ہے۔|ڈوروتھی گھاس کھینچتی ہے، کیونکہ اسے کھانا پکانے میں مکمل فائدہ ہے۔|ڈوروتھی کھانا پکاتی ہے، کیونکہ اسے کھانا پکانے میں تقابلی فائدہ حاصل ہے۔|رے کھانا پکاتا ہے، چونکہ اسے کھانا پکانے میں تقابلی فائدہ ہے۔,high_school_microeconomics,3
آپ کی خالہ اپنے گھر سے ایک چھوٹی سی فرم چلاتی ہیں جو سیب کے پکوان بناتی ہیں۔ وہ اپنی مدد کے لیے کچھ دوستوں کی خدمات حاصل کرتی ہے۔ مندرجہ ذیل میں سے کون سی صورتحال اس کی مزدوری کی طلب میں سب سے زیادہ اضافہ کرے گی؟,سیب کے چھلکے / کوررز کی قیمت میں اضافہ۔|آپ کی خالہ کے دوست سارا دن گپ شپ کرتے ہیں، ان کے آٹا بنانے کے عمل کو سست کر دیتے ہیں۔|تندوروں پر فروخت ہوتی ہے۔|ایک نئی تحقیق سے پتہ چلتا ہے کہ سیب آپ کے کینسر کا خطرہ بڑھاتا ہے۔,high_school_microeconomics,2
مسز جانسن اپنا پورا یومیہ بجٹ آلو کے چپس پر خرچ کرتی ہیں، ہر ایک کی قیمت $1 کی قیمت پر، اور پیاز کی ڈپ ہر ایک کی قیمت پر $2۔ اس کے موجودہ کھپت کے بنڈل میں، چپس کی معمولی افادیت 12 ہے اور ڈپ کی معمولی افادیت 30 ہے۔ مسز جانسن کو چاہیے,کچھ نہ کرو؛ وہ چپس اور ڈپ کے امتزاج کو زیادہ سے زیادہ استعمال کر رہی ہے۔|چپس کی کھپت میں اس وقت تک اضافہ کریں جب تک کہ چپ کی کھپت کی معمولی افادیت 30 کے برابر نہ ہوجائے۔|چپس کی کھپت کو اس وقت تک کم کریں جب تک کہ چپ کی کھپت کی معمولی افادیت 30 کے برابر نہ ہوجائے۔|اس کی چپس کی کھپت کو کم کریں اور اس کے ڈپ کی کھپت میں اضافہ کریں جب تک کہ فی ڈالر کی معمولی افادیت دونوں سامان کے برابر نہ ہوجائے۔,high_school_microeconomics,3
مداخلت کی غیر موجودگی میں، نامکمل مسابقت، خارجی، عوامی سامان، اور نامکمل معلومات سب کا نتیجہ مندرجہ ذیل میں سے کیا ہوتا ہے؟,ڈیمانڈ منحنی خطوط جو عمودی طور پر شامل کیے جائیں۔|مارکیٹ کی ناکامی|قیمتیں جو بہت کم ہیں۔|پیداوار کی وہ مقداریں جو بہت زیادہ ہیں۔,high_school_microeconomics,1
مارجنل لاگت (MC) اوسط متغیر لاگت (AVC) اور اوسط کل لاگت (ATC) کے برابر ہے جب:,مارجنل لاگت (MC) AVC اور ATC کو ان کے زیادہ سے زیادہ پوائنٹس پر کاٹتی ہے۔|AVC اور ATC MC کو اس کے زیادہ سے زیادہ نقطہ پر آپس میں جوڑتے ہیں۔|MC AVC اور ATC کو ان کے کم از کم پوائنٹس پر کاٹتا ہے۔|AVC اور ATC MC کو اس کے کم از کم پوائنٹ پر کاٹتے ہیں۔,high_school_microeconomics,2
جولیا کو اپنی آمدنی میں اضافے کے بعد، اس نے زیادہ آئس کریم کونز اور کم پاپسیکلز خریدنا شروع کر دیں۔ جولیا کے لیے، پاپسیکلز,مطالبہ کے قانون کی نافرمانی|مشترکہ مصنوعات ہیں|آئس کریم کے ساتھ ایک اضافی اچھا ہے|ایک کمتر اچھے ہیں,high_school_microeconomics,3
مندرجہ ذیل میں سے کون سی شرائط oligopoly کی خصوصیت ہے؟,ایک حریف فرم حریفوں کی قیمتوں میں کمی سے مماثل ہے، لیکن حریفوں کی قیمتوں میں اضافے سے مماثل نہیں ہوتی ہے۔|ایک حریف فرم حریفوں کی قیمتوں میں اضافے سے مماثل ہے، لیکن حریفوں کی قیمتوں میں ہونے والی کسی بھی کمی کو پورا کرنے میں ناکام رہتی ہے۔|حریف فرم حریفوں کی قیمتوں میں اضافے یا قیمتوں میں کمی دونوں کا مقابلہ کرنے میں ناکام رہتی ہے۔|(I)) حریف فرمیں ایک دوسرے سے آزادانہ طور پر کام کرتی ہیں۔,high_school_microeconomics,0
مندرجہ ذیل میں سے کون سی اولیگوپولی کی خصوصیت ہے؟ I. داخلے میں زبردست رکاوٹیں II قیمت (P) = معمولی آمدنی (MR)۔ III نسبتاً کم بیچنے والے۔,صرف میں۔|صرف II|صرف III۔|صرف I اور III۔,high_school_microeconomics,3
ایک اجارہ داری ایک کامل مدمقابل سے کم موثر ہے کیونکہ,ایک اجارہ داری زیادہ پیداوار پیدا کرتی ہے اور زیادہ قیمت پر فروخت کرتی ہے۔|ایک اجارہ داری کم پیداوار پیدا کرتی ہے اور زیادہ قیمت پر فروخت کرتی ہے۔|اجارہ داری مختصر مدت میں منافع کما سکتی ہے لیکن طویل مدت میں نہیں۔|ایک کامل حریف مختصر مدت میں بھی ٹوٹ جاتا ہے اور اجارہ داری نہیں ہوتی,high_school_microeconomics,1
مسابقتی مارکیٹ سسٹم کے ڈیزائن میں، مندرجہ ذیل میں سے کون اس کی وضاحت نہیں کرتا کہ وسائل کیسے مختص کیے جاتے ہیں؟,قیمت کے اشارے جو پروڈیوسر کی رہنمائی کرتے ہیں کہ کیا، کب، کیسے، اور کس کے لیے سامان اور خدمات تیار کرنی ہیں۔|فعال حکومت کی ملکیت اور پیداوار کی سمت۔|خریداروں اور بیچنے والوں کے درمیان رضاکارانہ مارکیٹ کا تبادلہ۔|شراکت یا پیداواری صلاحیت کی بنیاد پر آمدنی اور سامان کی تقسیم۔,high_school_microeconomics,1
ایک پیداوار امکان فرنٹیئر ایک سیدھی لائن ہو گی جب,کارکردگی حاصل کی جاتی ہے|محوروں پر موجود سامان استعمال میں بہترین متبادل ہیں۔|افادیت زیادہ سے زیادہ ہے|وسائل خصوصی نہیں ہیں,high_school_microeconomics,3
مندرجہ ذیل میں سے کون سا بیان درست ہے؟,اقتصادی منافع = اکاؤنٹنگ منافع.|اقتصادی لاگت = واضح اخراجات کے علاوہ مضمر اخراجات۔|اقتصادی لاگت = واضح اخراجات مائنس ضمنی اخراجات۔|مواقع کے اخراجات = معاشی منافع۔,high_school_microeconomics,1
اگر لیبر کی فی یونٹ قیمت، ایک متغیر وسیلہ، بڑھتا ہے، تو یہ مندرجہ ذیل میں سے کس کا سبب بنتا ہے؟,AFC میں اوپر کی طرف تبدیلی۔|MPL میں اوپر کی طرف تبدیلی۔|اے ٹی سی میں نیچے کی طرف تبدیلی۔|MC میں اوپر کی طرف تبدیلی۔,high_school_microeconomics,3
اگر مزدور کی تمام اکائیوں کو ادا کی جانے والی اجرت $4.50 ہے، تو مزدور کے کتنے یونٹ رکھے جاتے ہیں؟,1|2|3|4,high_school_microeconomics,1
اگر صارفین کو مشورہ دیا جاتا ہے کہ ملٹی گرینڈ بریڈ کینسر کے خطرے کو کافی حد تک کم کر دے گی، تو مارکیٹ میں ملٹی گرینڈ بریڈ کے لیے درج ذیل میں سے کون سا ہو گا؟,ملٹی گرین بریڈ کی قیمت کو کم کرتے ہوئے ڈیمانڈ وکر بائیں طرف منتقل ہو جائے گا۔|سپلائی کا وکر بائیں طرف منتقل ہو جائے گا، جس سے ملٹی گرین بریڈ کی قیمت بڑھ جائے گی۔|مانگ کا وکر دائیں طرف منتقل ہو جائے گا، ملٹی گرین بریڈ کی قیمت میں اضافہ ہو گا۔|سپلائی کا وکر دائیں طرف منتقل ہو جائے گا، جس سے ملٹی گرین بریڈ کی قیمت کم ہو جائے گی۔,high_school_microeconomics,2
کامل مسابقت اور اجارہ داری مسابقت کے بازار کے ڈھانچے درج ذیل میں سے کون سی خصوصیات کا اشتراک کرتے ہیں؟,طویل مدت میں داخلے اور باہر نکلنے میں آسانی|یکساں مصنوعات|فرم کی مصنوعات کے لئے بالکل لچکدار مطالبہ|طویل مدتی مثبت منافع,high_school_microeconomics,0
جب کسی اچھے کی پیداوار کے نتیجے میں منفی خارجیت موجود ہوتی ہے، تو پیداوار کی سماجی طور پر زیادہ سے زیادہ مقدار کو حاصل کیا جا سکتا ہے۔,آزاد بازار سرمایہ داری|اس مقدار پر حد لگانا جو پیدا کی جا سکتی ہے۔|سرکاری سامان کی خریداری|کم از کم مقدار کا تعین کرنا جو پیدا کی جا سکتی ہے۔,high_school_microeconomics,1
جیسن بالکل مسابقتی مقامی مارکیٹ میں سوئمنگ پولز کو صاف کرتا ہے۔ منافع کو بڑھانے والا، وہ روزانہ 9 تالابوں کو صاف کرنے کے لیے فی پول $10 چارج کر سکتا ہے، جس کی کل متغیر لاگت $80 اور کل مقررہ لاگت $20 ہے۔ مندرجہ ذیل میں سے کون سا سچ ہے؟,جیسن کو $20 کے معاشی نقصانات کے ساتھ مختصر مدت میں بند ہونا چاہیے۔|جیسن کو $10 کے معاشی نقصانات کے ساتھ مختصر مدت میں بند ہونا چاہیے۔|جیسن کو $20 کے معاشی نقصانات کے ساتھ روزانہ 9 تالاب صاف کرنے چاہئیں۔|جیسن کو $10 کے معاشی نقصانات کے ساتھ روزانہ 9 تالاب صاف کرنے چاہئیں۔,high_school_microeconomics,3
مندرجہ ذیل میں سے کون سی اولیگوپولی کی خصوصیت نہیں ہے؟,پی = ایم سی۔|قیمت بنانے والا۔|داخلے میں سخت رکاوٹیں۔|چند فرمیں۔,high_school_microeconomics,0
مسابقتی مارکیٹ معاشرے کے لیے بہترین نتائج فراہم کرتی ہے کیونکہ,صارفین کے سرپلس کو کم سے کم کیا جاتا ہے، جبکہ پروڈیوسر کے سرپلس کو زیادہ سے زیادہ کیا جاتا ہے۔|کل بہبود زیادہ سے زیادہ ہے.|پروڈیوسر سرپلس کو کم سے کم کیا جاتا ہے، جبکہ صارفین کے سرپلس کو زیادہ سے زیادہ کیا جاتا ہے۔|صارف اور پروڈیوسر سرپلس کے درمیان فرق زیادہ سے زیادہ ہے۔,high_school_microeconomics,1
آپ کو بتایا گیا ہے کہ DVDs کے لیے آمدنی کی لچک + 1.5 ہے۔ اس کا مطلب ہے کہ,آمدنی میں 10 فیصد اضافہ DVDs کی کھپت میں 15 فیصد اضافہ پیدا کرتا ہے۔ ڈی وی ڈی ایک عام لگژری اچھی چیز ہے۔|آمدنی میں 10 فیصد اضافہ DVDs کی کھپت میں 15 فیصد اضافہ پیدا کرتا ہے۔ ڈی وی ڈی ایک کمتر اچھی ہیں۔|آمدنی میں 10 فیصد اضافہ DVDs کی کھپت میں 15 فیصد کمی پیدا کرتا ہے۔ ڈی وی ڈی ایک کمتر اچھی ہیں۔|ڈی وی ڈی کی قیمت میں 10 فیصد اضافہ ڈی وی ڈی کی کھپت میں 15 فیصد کمی پیدا کرتا ہے۔ ڈی وی ڈی ایک قیمت لچکدار اچھی ہیں۔,high_school_microeconomics,0
اگر کسی پراڈکٹ کی قیمت کم ہو جائے اور متبادل پروڈکٹ کی قیمت اس طرح برقرار رہے کہ صارف اس پروڈکٹ کو زیادہ خریدے تو اسے کہا جاتا ہے۔,آمدنی کا اثر|متبادل اثر.|معمولی اثر.|فراہمی کا اثر,high_school_microeconomics,1
مندرجہ ذیل میں سے کون سا ٹرانسفر کمائی کی مثال ہے؟,ایک سپر اسٹار باسکٹ بال کھلاڑی کی $40 ملین کی کمائی۔|سماجی تحفظ کی ریٹائرمنٹ آمدنی۔|سماجی خدمات سے فلاحی ادائیگی۔|ایک ریسٹورنٹ میں ایک کیشیئر کو وہی $8 فی گھنٹہ ملتا ہے جو دوسرے کیشئر وصول کرتے ہیں۔,high_school_microeconomics,3
ایک چھوٹا کاروبار تخمینہ لگاتا ہے کہ مصنوعات کی مانگ کی قیمت کی لچک 3 ہے۔ کل آمدنی بڑھانے کے لیے، مالکان کو چاہیے کہ,قیمت کو کم کریں کیونکہ مطالبہ لچکدار ہے۔|قیمت کو کم کریں کیونکہ طلب غیر مستحکم ہے۔|قیمت بڑھائیں کیونکہ مانگ لچکدار ہے۔|قیمت میں اضافہ کیونکہ طلب غیر مستحکم ہے۔,high_school_microeconomics,0
ایک دو طرفہ اجارہ داری موجود ہے جب,اجارہ داری اجارہ داری سے خریدتی ہے۔|اجارہ داری دو مختلف قسم کے صارفین کو فروخت کرتی ہے۔|اجارہ دار اجارہ داری سے خریدتا ہے۔|ایک اجارہ دار دو مختلف قسم کے سامان فروخت کرتا ہے۔,high_school_microeconomics,0
اگر فرمیں کسی ایسی صنعت میں داخل ہو رہی ہیں جو اجارہ دارانہ طور پر مسابقتی ہے، تو ہم توقع کریں گے۔,موجودہ فرموں کو دائیں طرف منتقل کرنے کا مطالبہ۔|مصنوعات کی مارکیٹ کی قیمت میں اضافہ.|موجودہ فرموں کی مانگ زیادہ غیر لچکدار بن جاتی ہے۔|موجودہ فرموں کا مطالبہ بائیں طرف منتقل ہونا۔,high_school_microeconomics,3
مارجنل ریٹرن کو کم کرنے کا قانون ذمہ دار ہے۔,AVC جو پہلے بڑھتا ہے، لیکن آخر کار گرتا ہے، جیسا کہ آؤٹ پٹ بڑھتا ہے۔|AFC جو پہلے بڑھتا ہے، لیکن آخر کار گرتا ہے، جیسا کہ پیداوار میں اضافہ ہوتا ہے۔|MP جو پہلے گرتا ہے، لیکن آخر کار بڑھتا ہے، جیسا کہ پیداوار میں اضافہ ہوتا ہے۔|MC جو پہلے گرتا ہے، لیکن آخر کار بڑھتا ہے، جیسا کہ آؤٹ پٹ بڑھتا ہے۔,high_school_microeconomics,3
"مندرجہ ذیل میں سے کون اقتصادیات کی مختصر تعریف کو بہترین طریقے سے مکمل کرے گا؟ ""معاشیات کا مطالعہ ہے ...""",کس طرح لامحدود وسائل قلیل خواہشات کے درمیان مختص کیے جاتے ہیں۔|معیشت کے ذریعے پیسہ کس طرح گردش کیا جاتا ہے.|کارپوریشن کس طرح اپنے اسٹاک کے شیئر کی قیمت کو زیادہ سے زیادہ کرتی ہیں۔|لامحدود ضروریات کو پورا کرنے کے لیے کس طرح قلیل وسائل مختص کیے جاتے ہیں۔,high_school_microeconomics,3
1، 2، 3 اکائیوں کے ساتھ ایک یونٹ پر سرمایہ مقرر ہونے کے ساتھ ہی یکساں یکے بعد دیگرے اکائیوں میں اضافہ کیا جاتا ہے، پیداوار کی پیداوار 300 (محنت کی 1 یونٹ) سے بڑھ کر 350 (محنت کی 2 یونٹ) سے 375 (3 یونٹ لیبر) ہو جاتی ہے۔ )۔ مندرجہ ذیل میں سے کون سی صحیح تشریح ہے؟,یہ طویل مدتی پیمانے پر واپسی میں اضافہ ہے۔|یہ طویل مدتی پیمانے پر واپسی کو کم کرتا ہے۔|یہ پیمانے پر طویل مدتی مستقل واپسی ہے۔|یہ قلیل مدتی پیداواری صلاحیت کو کم کرتا ہے۔,high_school_microeconomics,3
مندرجہ ذیل میں سے کون سا عوامی بھلائی کی بہترین مثال ہے؟,نجی وائلن اسباق|آپ کی کمیونٹی میں رضاکار فائر ڈیپارٹمنٹ|میوزیم میں داخلے کے لیے $1 ٹکٹ|آلو کے چپس کا ایک تھیلا,high_school_microeconomics,1
مندرجہ ذیل میں سے کون سا عوامی بھلائی کی بہترین مثال ہے؟,آرتھوڈونٹسٹ کا دورہ|ٹیننگ سیلون میں ایک سیشن|ایک بڑا پیزا|بین الاقوامی خلائی اسٹیشن,high_school_microeconomics,3
جب مانگ کی کراس پرائس لچک منفی ہوتی ہے، سوال میں سامان لازمی طور پر ہوتا ہے۔,عام|کمتر|تکمیل|متبادل,high_school_microeconomics,2
ایک مسابقتی لیبر مارکیٹ اس وقت توازن میں ہے۔ مندرجہ ذیل میں سے کون سا بازار کی اجرت میں سب سے زیادہ اضافہ کرتا ہے؟,مزید طلباء اس لیبر مارکیٹ کے لیے ضروری مہارتوں کے ساتھ فارغ التحصیل ہوتے ہیں۔|اس محنت سے پیدا ہونے والی اچھی چیزوں کی مانگ زیادہ ہوتی ہے۔|تکمیلی وسائل کی قیمت بڑھ جاتی ہے۔|محکمہ محنت مزدوروں کے اس شعبے میں کام کرنے سے پہلے امتحان پاس کرنے کی ضرورت کو ختم کرتا ہے۔,high_school_microeconomics,1
حکومت کی حوصلہ شکنی اور اجارہ داریوں کو منظم کرنے کی ایک وجہ یہ ہے۔,پروڈیوسر سرپلس کھو جاتا ہے اور صارفین کا سرپلس حاصل ہوتا ہے۔|اجارہ داری کی قیمتیں پیداواری کارکردگی کو یقینی بناتی ہیں لیکن معاشرے کی مختص کارکردگی کو لاگو کرتی ہے۔|اجارہ دار فرمیں اہم تحقیق اور ترقی میں مشغول نہیں ہیں۔|زیادہ قیمتوں اور پیداوار کی کم سطح کے ساتھ صارفین کا سرپلس ضائع ہو جاتا ہے۔,high_school_microeconomics,3
مندرجہ ذیل میں سے کونسی اچھی X کے لیے خالصتا (یا بالکل) مسابقتی مارکیٹ میں توازن کے لیے درست ہے؟,اچھے X کی کمی موجود ہے۔|مانگی گئی مقدار اچھے X کی فراہم کردہ مقدار کے برابر ہے۔|اچھا X کا ایک سرپلس موجود ہے۔|حکومت مارکیٹ کی قیمت پر تیار کردہ اچھے X کی مقدار کو کنٹرول کرتی ہے۔,high_school_microeconomics,1
جب ناشپاتی کی قیمت بڑھ جاتی ہے تو ہم درج ذیل کی توقع کرتے ہیں:,ناشپاتی کی مانگ کی مقدار بڑھ جاتی ہے۔|ناشپاتی کی فراہمی کی مقدار گر جاتی ہے۔|ناشپاتی کی مانگ کی مقدار گر جاتی ہے۔|ناشپاتی کی مانگ میں کمی۔,high_school_microeconomics,2
اگر انگور کی رسد میں اضافے کے ساتھ ساتھ انگور کی مانگ میں اضافہ ہوتا ہے تو ہم کہہ سکتے ہیں کہ,توازن کی مقدار بڑھ جاتی ہے، لیکن قیمت میں تبدیلی مبہم ہے۔|توازن کی مقدار گرتی ہے، لیکن قیمت میں تبدیلی مبہم ہے۔|توازن کی مقدار بڑھ جاتی ہے، اور قیمت بڑھ جاتی ہے۔|توازن کی مقدار گرتی ہے، اور قیمت گرتی ہے۔,high_school_microeconomics,0
اگر حکومت فطری اجارہ داری کو ریگولیٹ کرنا چاہتی ہے تاکہ وہ ایک مختص طور پر موثر سطح کی پیداوار پیدا کرے، تو یہ ایک پیداوار پر ہوگی۔,جہاں قیمت اوسط کل لاگت کے برابر ہے۔|جہاں معمولی آمدنی معمولی لاگت کے برابر ہوتی ہے۔|جہاں عام منافع کمایا جاتا ہے۔|جہاں قیمت معمولی لاگت کے برابر ہے۔,high_school_microeconomics,3
جب مانگ کی قیمت کی لچک 1 سے زیادہ ہو تو مانگ ہوتی ہے۔,بالکل غیر لچکدار.|لچکدار۔|غیر لچکدار|یونٹ لچکدار.,high_school_microeconomics,1
مندرجہ ذیل میں سے کون سا ٹیکس نظام امیروں سے غریبوں میں آمدنی کو دوبارہ تقسیم کرنے کے لیے بنایا گیا ہے؟,ایک ترقی پسند ٹیکس نظام|ایک رجعتی ٹیکس نظام|متناسب ٹیکس کا نظام|ایکسائز ٹیکس کا نظام,high_school_microeconomics,0
ان میں سے کون سی صورت حال قیمت کے امتیاز کی مثال نہیں ہے؟,"برینٹ راتوں کو کام کرتا ہے، اس لیے وہ شام 7 بجے کے بجائے صبح 7 بجے روٹی خریدنے کا انتخاب کرتا ہے۔|باب اور نینسی میں سے ہر ایک کو میل میں ""$1 کی چھوٹ"" کا کوپن ملتا ہے، لیکن باب اسے چھڑاتا ہے جب کہ نینسی ایسا نہیں کرتی ہے۔|کیٹی $3 میں 12 کوک خریدتی ہے، اور جوش ایک وقت میں ایک کوک $1 میں خریدتا ہے۔|ویلما کم دوپہر کی میٹنی قیمت پر فلموں میں جانا پسند کرتی ہے، اور روزمیری شام کے شو کے لیے زیادہ ادائیگی کرے گی۔",high_school_microeconomics,0
مثبت خارجیت کی موجودگی کے ساتھ، مندرجہ ذیل میں سے کون سا خارجیت کو درست کرے گا؟,ایک سرکاری سبسڈی۔|ایک سرکاری ٹیکس۔|زیادہ قیمت۔|پیداوار کی نچلی سطح۔,high_school_microeconomics,0
ڈینم جینز کی مارکیٹ توازن میں ہے، اور پالئیےسٹر پتلون کی قیمت، جو ایک متبادل اچھی ہے، بڑھ رہی ہے۔ جین مارکیٹ میں,سپلائی میں کمی، قیمت میں اضافہ اور مقدار میں کمی۔|سپلائی میں کمی، قیمت میں اضافہ اور مقدار میں اضافہ۔|مانگ میں کمی، قیمت میں اضافہ اور مقدار میں کمی۔|مانگ میں اضافہ، قیمت میں اضافہ اور مقدار میں اضافہ۔,high_school_microeconomics,3
ایک عقلی صارف جو گرل اسکاؤٹ کوکیز کھا رہا ہے جب کھانا چھوڑ دیتا ہے۔,کل فائدہ کوکیز کھانے کی کل لاگت کے برابر ہے۔|معمولی فائدہ اگلی کوکی کی معمولی قیمت کے برابر ہے۔|کوکیز کھانے کی معمولی قیمت زیادہ سے زیادہ ہے۔|کوکیز کھانے کا معمولی فائدہ کم سے کم ہے۔,high_school_microeconomics,1
